clique,tamanho,participantes
89,27,P001;P004;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131;P_TESTE
90,27,P001;P004;P007;P013;P015;P018;P022;P041;P043;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P121;P126;P131;P_TESTE
91,27,P001;P004;P007;P013;P015;P018;P022;P041;P043;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131;P_TESTE
92,27,P001;P004;P007;P013;P015;P018;P022;P041;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P121;P126;P131;P_TESTE
93,27,P001;P004;P007;P013;P015;P018;P022;P041;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131;P_TESTE
94,27,P001;P004;P007;P013;P015;P022;P035;P036;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
95,27,P001;P004;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131;P_TESTE
96,27,P001;P004;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
97,27,P001;P004;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131;P_TESTE
98,27,P001;P007;P008;P013;P015;P022;P025;P041;P043;P048;P056;P071;P072;P077;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
99,27,P001;P007;P008;P013;P015;P025;P041;P043;P048;P056;P071;P072;P077;P080;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
100,27,P001;P007;P013;P015;P018;P025;P035;P041;P043;P048;P053;P056;P072;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131;P_TESTE
101,27,P001;P007;P013;P015;P018;P025;P035;P041;P048;P053;P056;P072;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131;P_TESTE
102,27,P001;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P122;P126;P131;P_TESTE
103,27,P001;P007;P013;P015;P022;P036;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P121;P122;P126;P131;P133;P_TESTE
104,27,P001;P007;P013;P015;P025;P041;P043;P048;P053;P055;P056;P071;P072;P077;P080;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P_TESTE
105,27,P001;P007;P013;P015;P025;P041;P043;P048;P053;P055;P056;P071;P072;P077;P081;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P_TESTE
106,27,P001;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
107,27,P001;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
108,27,P001;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
109,27,P001;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
110,27,P001;P007;P013;P015;P025;P041;P048;P053;P055;P056;P071;P072;P077;P080;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131;P_TESTE
111,27,P001;P007;P013;P015;P025;P041;P048;P053;P055;P056;P071;P072;P077;P081;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131;P_TESTE
112,27,P002;P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P066;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P126;P131;P_TESTE
113,27,P002;P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P126;P131;P_TESTE
