clique,tamanho,participantes
97,26,P001;P004;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131
98,26,P001;P007;P008;P013;P015;P022;P025;P041;P043;P048;P056;P071;P072;P077;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133
99,26,P001;P007;P008;P013;P015;P025;P041;P043;P048;P056;P071;P072;P077;P080;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133
100,26,P001;P007;P013;P015;P018;P025;P035;P041;P043;P048;P053;P056;P072;P081;P088;P091;P092;P094;P098;P099;P111;P116;P117;P121;P126;P131
101,26,P001;P007;P013;P015;P018;P025;P035;P041;P048;P053;P056;P072;P081;P088;P091;P092;P094;P098;P099;P103;P111;P116;P117;P121;P126;P131
102,26,P001;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P122;P126;P131
103,26,P001;P007;P013;P015;P022;P036;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P121;P122;P126;P131;P133
104,26,P001;P007;P013;P015;P025;P041;P043;P048;P053;P055;P056;P071;P072;P077;P080;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131
105,26,P001;P007;P013;P015;P025;P041;P043;P048;P053;P055;P056;P071;P072;P077;P081;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131
106,26,P001;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
107,26,P001;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
108,26,P001;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133
109,26,P001;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133
110,26,P001;P007;P013;P015;P025;P041;P048;P053;P055;P056;P071;P072;P077;P080;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
111,26,P001;P007;P013;P015;P025;P041;P048;P053;P055;P056;P071;P072;P077;P081;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
112,26,P002;P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P066;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P126;P131
113,26,P002;P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P126;P131
114,26,P004;P005;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
115,26,P004;P005;P007;P013;P015;P018;P022;P025;P030;P048;P049;P056;P072;P077;P081;P088;P092;P094;P098;P099;P111;P116;P117;P126;P131;P133
116,26,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P116;P121;P126;P131
117,26,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P116;P121;P126;P131;P133
118,26,P004;P005;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
119,26,P004;P005;P007;P013;P015;P018;P022;P035;P041;P048;P056;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
120,26,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131
121,26,P004;P005;P007;P013;P015;P018;P022;P037;P041;P044;P048;P056;P071;P072;P081;P082;P087;P092;P094;P098;P111;P116;P121;P124;P126;P131
122,26,P004;P005;P007;P013;P015;P018;P022;P041;P043;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P111;P116;P117;P121;P126;P131
123,26,P004;P005;P007;P013;P015;P018;P022;P041;P044;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P121;P126;P131
124,26,P004;P005;P007;P013;P015;P018;P022;P041;P048;P056;P071;P072;P081;P082;P087;P091;P092;P094;P098;P103;P111;P116;P117;P121;P126;P131
125,26,P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P116;P121;P126;P131
126,26,P004;P005;P007;P013;P015;P018;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P106;P111;P116;P121;P126;P131;P133
127,26,P004;P005;P007;P013;P015;P022;P035;P036;P041;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P111;P121;P126;P131;P133
128,26,P004;P005;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131
129,26,P004;P005;P007;P013;P015;P022;P036;P037;P041;P044;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133
130,26,P004;P005;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131
131,26,P004;P007;P013;P015;P018;P022;P035;P041;P043;P048;P056;P060;P072;P081;P087;P088;P092;P098;P099;P111;P116;P117;P121;P126;P131;P133
132,26,P004;P007;P013;P015;P018;P022;P041;P043;P048;P056;P060;P071;P072;P081;P087;P088;P092;P098;P099;P111;P116;P117;P121;P126;P131;P133
133,26,P005;P007;P008;P013;P015;P022;P025;P041;P043;P048;P056;P071;P072;P077;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133
134,26,P005;P007;P008;P013;P015;P025;P041;P043;P048;P056;P071;P072;P077;P080;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133
135,26,P005;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P122;P126;P131
136,26,P005;P007;P013;P015;P022;P036;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P121;P122;P126;P131;P133
137,26,P005;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
138,26,P005;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133
139,26,P005;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133
140,26,P005;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133
141,25,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131
142,25,P001;P004;P007;P013;P015;P018;P025;P030;P048;P049;P059;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
143,25,P001;P004;P007;P013;P015;P022;P035;P036;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131
144,25,P001;P004;P007;P013;P015;P022;P035;P036;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133
145,25,P001;P004;P007;P013;P015;P022;P035;P036;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131
146,25,P001;P004;P007;P013;P015;P022;P036;P041;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P111;P126;P131;P133
147,25,P001;P007;P008;P013;P015;P025;P041;P043;P048;P053;P056;P071;P072;P077;P080;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131
148,25,P001;P007;P013;P015;P022;P025;P035;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P126;P131;P133
149,25,P001;P007;P013;P015;P022;P036;P041;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P111;P122;P126;P131;P133
150,25,P001;P007;P013;P015;P022;P036;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P122;P126;P131;P133
151,25,P001;P007;P013;P015;P025;P041;P049;P055;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
152,25,P001;P007;P013;P015;P025;P041;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P122;P126;P131
153,25,P001;P007;P013;P015;P025;P041;P049;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P121;P122;P126;P131
154,25,P001;P007;P013;P015;P025;P041;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P103;P111;P116;P117;P121;P122;P126;P131
155,25,P001;P007;P013;P015;P025;P043;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P122;P126;P131;P133
156,25,P001;P007;P013;P015;P025;P043;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P122;P126;P131;P133
157,25,P004;P005;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131
158,25,P004;P005;P007;P013;P015;P018;P025;P030;P048;P049;P059;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131
159,25,P004;P005;P007;P013;P015;P022;P035;P036;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131
160,25,P004;P005;P007;P013;P015;P022;P035;P036;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133
161,25,P004;P005;P007;P013;P015;P022;P035;P036;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131
162,25,P004;P005;P007;P013;P015;P022;P036;P041;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P111;P126;P131;P133
163,25,P004;P005;P007;P013;P015;P036;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P103;P106;P111;P121;P126;P131
164,25,P004;P005;P007;P013;P015;P036;P037;P041;P048;P056;P071;P072;P081;P087;P088;P092;P094;P098;P099;P106;P111;P121;P126;P131;P133
